id,name,state,url
G000571,Rep. Tulsi Gabbard,HI,http://gabbard.house.gov
D000622,Rep. Tammy Duckworth,IL,http://duckworth.house.gov
D000619,Rep. Rodney Davis,IL,http://rodneydavis.house.gov
B001286,Rep. Cheri Bustos,IL,http://bustos.house.gov
W000813,Rep. Jackie Walorski,IN,http://walorski.house.gov
B001284,Rep. Susan Brooks,IN,http://susanwbrooks.house.gov
M001189,Rep. Luke Messer,IN,https://messer.house.gov
B001282,Rep. Garland Barr,KY,https://barr.house.gov
W000817,Sen. Elizabeth Warren,MA,http://www.warren.senate.gov
K000379,Rep. Joseph Kennedy,MA,http://kennedy.house.gov
D000620,Rep. John Delaney,MD,http://delaney.house.gov
K000383,Sen. Angus King,ME,http://www.king.senate.gov
K000380,Rep. Daniel Kildee,MI,http://dankildee.house.gov
N000127,Rep. Richard Nolan,MN,http://nolan.house.gov
W000812,Rep. Ann Wagner,MO,http://wagner.house.gov
D000618,Sen. Steve Daines,MT,https://www.daines.senate.gov
H001067,Rep. Richard Hudson,NC,http://hudson.house.gov
P000606,Rep. Robert Pittenger,NC,http://pittenger.house.gov
M001187,Rep. Mark Meadows,NC,https://meadows.house.gov
H001065,Rep. George Holding,NC,http://holding.house.gov
H001069,Sen. Heidi Heitkamp,ND,http://www.heitkamp.senate.gov
C001096,Rep. Kevin Cramer,ND,http://cramer.house.gov
F000463,Sen. Deb Fischer,NE,http://www.fischer.senate.gov
K000382,Rep. Ann Kuster,NH,http://kuster.house.gov
L000580,Rep. Michelle Lujan Grisham,NM,https://lujangrisham.house.gov
M001188,Rep. Grace Meng,NY,http://meng.house.gov
J000294,Rep. Hakeem Jeffries,NY,http://jeffries.house.gov
M001185,Rep. Sean Maloney,NY,http://seanmaloney.house.gov
C001092,Rep. Chris Collins,NY,http://chriscollins.house.gov
W000815,Rep. Brad Wenstrup,OH,http://wenstrup.house.gov
B001281,Rep. Joyce Beatty,OH,http://beatty.house.gov
J000295,Rep. David Joyce,OH,http://joyce.house.gov
B001283,Rep. Jim Bridenstine,OK,http://bridenstine.house.gov
M001190,Rep. Markwayne Mullin,OK,http://mullin.house.gov
P000605,Rep. Scott Perry,PA,http://perry.house.gov
R000598,Rep. Keith Rothfus,PA,https://rothfus.house.gov
C001090,Rep. Matthew Cartwright,PA,http://cartwright.house.gov
R000597,Rep. Tom Rice,SC,http://rice.house.gov
C001098,Sen. Ted Cruz,TX,https://www.cruz.senate.gov
W000814,Rep. Randy Weber,TX,http://weber.house.gov
O000170,Rep. Beto O'Rourke,TX,http://orourke.house.gov
C001091,Rep. Joaquin Castro,TX,http://castro.house.gov
W000816,Rep. Roger Williams,TX,http://williams.house.gov
V000131,Rep. Marc Veasey,TX,http://veasey.house.gov
V000132,Rep. Filemon Vela,TX,http://vela.house.gov
S001192,Rep. Chris Stewart,UT,http://stewart.house.gov
K000384,Sen. Timothy Kaine,VA,http://www.kaine.senate.gov
K000381,Rep. Derek Kilmer,WA,http://kilmer.house.gov
H001064,Rep. Denny Heck,WA,http://dennyheck.house.gov
P000607,Rep. Mark Pocan,WI,http://pocan.house.gov
K000385,Rep. Robin Kelly,IL,http://robinkelly.house.gov
S000051,Rep. Marshall Sanford,SC,http://sanford.house.gov
S001195,Rep. Jason Smith,MO,http://jasonsmith.house.gov
B001288,Sen. Cory Booker,NJ,http://www.booker.senate.gov
C001101,Rep. Katherine Clark,MA,https://katherineclark.house.gov
B001289,Rep. Bradley Byrne,AL,https://byrne.house.gov
J000296,Rep. David Jolly,FL,http://jolly.house.gov
C001102,Rep. Curtis Clawson,FL,http://clawson.house.gov
B001290,Rep. David Brat,VA,http://brat.house.gov
N000188,Rep. Donald Norcross,NJ,http://norcross.house.gov
A000370,Rep. Alma Adams,NC,http://adams.house.gov
D000613,Rep. Bob Dold,IL,https://dold.house.gov
G000570,Rep. Frank Guinta,NH,https://guinta.house.gov
P000609,Rep. Gary Palmer,AL,https://palmer.house.gov
H001072,Rep. French Hill,AR,https://hill.house.gov
W000821,Rep. Bruce Westerman,AR,https://westerman.house.gov
M001197,Rep. Martha McSally,AZ,https://mcsally.house.gov
G000574,Rep. Ruben Gallego,AZ,https://rubengallego.house.gov
D000623,Rep. Mark DeSaulnier,CA,https://desaulnier.house.gov
K000387,Rep. Steve Knight,CA,https://knight.house.gov
A000371,Rep. Pete Aguilar,CA,https://aguilar.house.gov
L000582,Rep. Ted Lieu,CA,https://lieu.house.gov
T000474,Rep. Norma Torres,CA,https://torres.house.gov
W000820,Rep. Mimi Walters,CA,https://walters.house.gov
B001297,Rep. Ken Buck,CO,https://buck.house.gov
G000575,Rep. Gwen Graham,FL,https://graham.house.gov
C001107,Rep. Carlos Curbelo,FL,http://curbelo.house.gov
C001103,Rep. Buddy Carter,GA,http://buddycarter.house.gov
H001071,Rep. Jody Hice,GA,https://hice.house.gov
L000583,Rep. Barry Loudermilk,GA,http://loudermilk.house.gov
A000372,Rep. Rick Allen,GA,http://allen.house.gov
T000473,Rep. Mark Takai,HI,https://takai.house.gov
B001294,Rep. Rod Blum,IA,https://blum.house.gov
Y000066,Rep. David Young,IA,https://davidyoung.house.gov
B001295,Rep. Mike Bost,IL,https://bost.house.gov
A000374,Rep. Ralph Abraham,LA,https://abraham.house.gov
G000577,Rep. Garret Graves,LA,https://garretgraves.house.gov
M001196,Rep. Seth Moulton,MA,https://moulton.house.gov
P000611,Rep. Bruce Poliquin,ME,https://poliquin.house.gov
M001194,Rep. John Moolenaar,MI,https://moolenaar.house.gov
B001293,Rep. Mike Bishop,MI,https://mikebishop.house.gov
T000475,Rep. Dave Trott,MI,https://trott.house.gov
D000624,Rep. Debbie Dingell,MI,https://debbiedingell.house.gov
L000581,Rep. Brenda Lawrence,MI,https://lawrence.house.gov
E000294,Rep. Tom Emmer,MN,https://emmer.house.gov
Z000018,Rep. Ryan Zinke,MT,https://zinke.house.gov
R000603,Rep. David Rouzer,NC,https://rouzer.house.gov
A000373,Rep. Brad Ashford,NE,https://ashford.house.gov
M001193,Rep. Tom MacArthur,NJ,https://macarthur.house.gov
W000822,Rep. Bonnie Watson Coleman,NJ,https://watsoncoleman.house.gov
H001070,Rep. Cresent Hardy,NV,https://hardy.house.gov
Z000017,Rep. Lee Zeldin,NY,https://zeldin.house.gov
R000602,Rep. Kathleen Rice,NY,http://kathleenrice.house.gov
S001196,Rep. Elise Stefanik,NY,https://stefanik.house.gov
K000386,Rep. John Katko,NY,https://katko.house.gov
R000604,Rep. Steve Russell,OK,https://russell.house.gov
C001106,Rep. Ryan Costello,PA,https://costello.house.gov
B001296,Rep. Brendan Boyle,PA,https://boyle.house.gov
R000601,Rep. John Ratcliffe,TX,https://ratcliffe.house.gov
H001073,Rep. Will Hurd,TX,https://hurd.house.gov
B001291,Rep. Brian Babin,TX,http://babin.house.gov
L000584,Rep. Mia Love,UT,https://love.house.gov
B001292,Rep. Donald Beyer,VA,http://beyer.house.gov
C001105,Rep. Barbara Comstock,VA,https://comstock.house.gov
P000610,Rep. Stacey Plaskett,VI,https://plaskett.house.gov
N000189,Rep. Dan Newhouse,WA,https://newhouse.house.gov
G000576,Rep. Glenn Grothman,WI,http://grothman.house.gov
M001195,Rep. Alex Mooney,WV,https://mooney.house.gov
J000297,Rep. Evan Jenkins,WV,https://evanjenkins.house.gov
R000600,Rep. Aumua Amata,AS,https://radewagen.house.gov
S001198,Sen. Dan Sullivan,AK,http://www.sullivan.senate.gov
P000612,Sen. David Perdue,GA,http://www.perdue.senate.gov
E000295,Sen. Joni Ernst,IA,http://www.ernst.senate.gov
T000476,Sen. Thom Tillis,NC,http://www.tillis.senate.gov
R000605,Sen. Mike Rounds,SD,http://www.rounds.senate.gov
W000819,Rep. Mark Walker,NC,https://walker.house.gov
S001197,Sen. Benjamin Sasse,NE,http://www.sasse.senate.gov
D000625,Rep. Daniel Donovan,NY,https://donovan.house.gov
K000388,Rep. Trent Kelly,MS,https://trentkelly.house.gov
L000585,Rep. Darin LaHood,IL,https://lahood.house.gov/
D000626,Rep. Warren Davidson,OH,https://davidson.house.gov/
